SIG=(4,0) | TYPE=pure-block | S=R+(0,1)x1 | N=- | K=- | dimc=2 | dimcc=0 | abelian=1 | eig=[(-I,1),(0,2),(I,1)] | dimker=2 | A2zero=0 | minpolydeg=3
SIG=(4,0) | TYPE=pure-block | S=R+(0,1)x1,R+(2,3)x1 | N=- | K=- | dimc=4 | dimcc=3 | abelian=0 | eig=[(-I,2),(I,2)] | dimker=0 | A2zero=0 | minpolydeg=2
SIG=(4,0) | TYPE=pure-block | S=R+(0,1)x1,R+(2,3)x2 | N=- | K=- | dimc=2 | dimcc=0 | abelian=1 | eig=[(-2*I,1),(-I,1),(2*I,1),(I,1)] | dimker=0 | A2zero=0 | minpolydeg=4
SIG=(4,0) | TYPE=NONE | S=- | N=D1 | K=- | dimc=- | dimcc=- | abelian=- | eig=- | dimker=- | A2zero=- | minpolydeg=-
SIG=(4,0) | TYPE=NONE | S=- | N=D0 | K=- | dimc=- | dimcc=- | abelian=- | eig=- | dimker=- | A2zero=- | minpolydeg=-
SIG=(4,0) | TYPE=NONE | S=R+(0,1)x1 | N=D1 | K=(2,0) | dimc=- | dimcc=- | abelian=- | eig=- | dimker=- | A2zero=- | minpolydeg=-
SIG=(4,0) | TYPE=NONE | S=R+(0,1)x1 | N=D0 | K=(2,0) | dimc=- | dimcc=- | abelian=- | eig=- | dimker=- | A2zero=- | minpolydeg=-
SIG=(3,1) | TYPE=pure-block | S=R+(0,1)x1 | N=- | K=- | dimc=2 | dimcc=0 | abelian=1 | eig=[(-I,1),(0,2),(I,1)] | dimker=2 | A2zero=0 | minpolydeg=3
SIG=(3,1) | TYPE=pure-block | S=B(0,3)x1 | N=- | K=- | dimc=2 | dimcc=0 | abelian=1 | eig=[(-1,1),(0,2),(1,1)] | dimker=2 | A2zero=0 | minpolydeg=3
SIG=(3,1) | TYPE=pure-block | S=R+(0,1)x1,B(2,3)x1 | N=- | K=- | dimc=2 | dimcc=0 | abelian=1 | eig=[(-1,1),(-I,1),(1,1),(I,1)] | dimker=0 | A2zero=0 | minpolydeg=4
SIG=(3,1) | TYPE=pure-wedge | S=- | N=D1 | K=- | dimc=2 | dimcc=0 | abelian=1 | eig=[(0,4)] | dimker=2 | A2zero=0 | minpolydeg=3
SIG=(3,1) | TYPE=NONE | S=- | N=D0 | K=- | dimc=- | dimcc=- | abelian=- | eig=- | dimker=- | A2zero=- | minpolydeg=-
SIG=(3,1) | TYPE=NONE | S=R+(0,1)x1 | N=D1 | K=(1,1) | dimc=- | dimcc=- | abelian=- | eig=- | dimker=- | A2zero=- | minpolydeg=-
SIG=(3,1) | TYPE=NONE | S=R+(0,1)x1 | N=D0 | K=(1,1) | dimc=- | dimcc=- | abelian=- | eig=- | dimker=- | A2zero=- | minpolydeg=-
SIG=(3,1) | TYPE=NONE | S=B(0,3)x1 | N=D1 | K=(2,0) | dimc=- | dimcc=- | abelian=- | eig=- | dimker=- | A2zero=- | minpolydeg=-
SIG=(3,1) | TYPE=NONE | S=B(0,3)x1 | N=D0 | K=(2,0) | dimc=- | dimcc=- | abelian=- | eig=- | dimker=- | A2zero=- | minpolydeg=-
SIG=(2,2) | TYPE=pure-block | S=R+(0,1)x1 | N=- | K=- | dimc=2 | dimcc=0 | abelian=1 | eig=[(-I,1),(0,2),(I,1)] | dimker=2 | A2zero=0 | minpolydeg=3
SIG=(2,2) | TYPE=pure-block | S=R-(2,3)x1 | N=- | K=- | dimc=2 | dimcc=0 | abelian=1 | eig=[(-I,1),(0,2),(I,1)] | dimker=2 | A2zero=0 | minpolydeg=3
SIG=(2,2) | TYPE=pure-block | S=B(0,2)x1 | N=- | K=- | dimc=2 | dimcc=0 | abelian=1 | eig=[(-1,1),(0,2),(1,1)] | dimker=2 | A2zero=0 | minpolydeg=3
SIG=(2,2) | TYPE=pure-block | S=R+(0,1)x1,R-(2,3)x1 | N=- | K=- | dimc=4 | dimcc=3 | abelian=0 | eig=[(-I,2),(I,2)] | dimker=0 | A2zero=0 | minpolydeg=2
SIG=(2,2) | TYPE=pure-block | S=B(0,2)x1,B(1,3)x1 | N=- | K=- | dimc=4 | dimcc=3 | abelian=0 | eig=[(-1,2),(1,2)] | dimker=0 | A2zero=0 | minpolydeg=2
SIG=(2,2) | TYPE=pure-block | S=R+(0,1)x1,R-(2,3)x2 | N=- | K=- | dimc=2 | dimcc=0 | abelian=1 | eig=[(-2*I,1),(-I,1),(2*I,1),(I,1)] | dimker=0 | A2zero=0 | minpolydeg=4
SIG=(2,2) | TYPE=pure-block | S=B(0,2)x1,B(1,3)x2 | N=- | K=- | dimc=2 | dimcc=0 | abelian=1 | eig=[(-1,1),(-2,1),(1,1),(2,1)] | dimker=0 | A2zero=0 | minpolydeg=4
SIG=(2,2) | TYPE=pure-wedge | S=- | N=D1 | K=- | dimc=2 | dimcc=0 | abelian=1 | eig=[(0,4)] | dimker=2 | A2zero=0 | minpolydeg=3
SIG=(2,2) | TYPE=pure-wedge | S=- | N=D0 | K=- | dimc=4 | dimcc=3 | abelian=0 | eig=[(0,4)] | dimker=2 | A2zero=1 | minpolydeg=2
SIG=(2,2) | TYPE=NONE | S=R+(0,1)x1 | N=D1 | K=(0,2) | dimc=- | dimcc=- | abelian=- | eig=- | dimker=- | A2zero=- | minpolydeg=-
SIG=(2,2) | TYPE=NONE | S=R+(0,1)x1 | N=D0 | K=(0,2) | dimc=- | dimcc=- | abelian=- | eig=- | dimker=- | A2zero=- | minpolydeg=-
SIG=(2,2) | TYPE=NONE | S=R-(2,3)x1 | N=D1 | K=(2,0) | dimc=- | dimcc=- | abelian=- | eig=- | dimker=- | A2zero=- | minpolydeg=-
SIG=(2,2) | TYPE=NONE | S=R-(2,3)x1 | N=D0 | K=(2,0) | dimc=- | dimcc=- | abelian=- | eig=- | dimker=- | A2zero=- | minpolydeg=-
